,id,X,Y,landscape_id,previous_x,previous_y
1,3,239906,9798113,76,240000,9798000
2,8,240142,9798229,76,240100,9798300
3,10,240283.5,9798376.6,76,240300,9798300
4,12,240000,9798900,76,NA,NA
5,14,240200,9798900,76,NA,NA
6,16,238155.21,9799664.84,76,238200,9799700
7,21,240975.2,9798644.8,76,242000,9800400
8,24,238101.8,9801051.7,76,238100,9801000
9,25,238425.6,9801073.7,76,238500,9801000
10,30,241800,9801600,76,NA,NA
11,3,202100,9830400,387,NA,NA
12,8,204987,9830824,387,205000,9830900
13,15,204547.3,9831665.7,387,204500,9831700
14,17,205722,9831615.4,387,205700,9831700
15,19,202800,9832500,387,NA,NA
16,24,204448,9832744.2,387,204500,9832800
17,25,204782.9,9832857.7,387,204700,9832800
18,28,204613.9,9832991.9,387,204600,9833000
19,34,203696,9833456,387,203700,9833400
20,38,205186.9,9833172.3,387,204500,9834000
21,3,197417.9,9847813.3,545,196800,9846000
22,7,194100,9846100,545,NA,NA
23,9,195900,9846100,545,NA,NA
24,11,197604.6,9846940.8,545,197600,9846900
25,13,196679,9847125,545,196600,9847100
26,17,197807,9847603.5,545,197800,9847500
27,20,196755.4,9848335.5,545,197800,9847700
28,24,197567.1,9848112.1,545,197600,9848200
29,29,195120.1,9849100.8,545,195200,9849100
30,33,196158.1,9849912.4,545,196200,9849900
31,3,193246.4,9850453.1,584,193200,9850400
32,8,192690,9850677,584,192700,9850700
33,9,191331,9850241,584,190000,9851400
34,12,191523,9851491,584,191600,9851500
35,16,191702,9851669,584,191700,9851700
36,17,191026.8,9852013.5,584,191000,9851900
37,24,193904.6,9853484.4,584,194000,9853500
38,25,190922,9853837,584,190900,9853800
39,30,192483,9853920,584,192400,9854000
40,32,193098,9853930,584,192600,9854000
41,3,198317,9850453,586,198200,9850000
42,12,200794,9850708,586,201300,9850100
43,15,198782.7,9850156.4,586,198900,9850200
44,16,201298,9850749,586,201600,9850200
45,21,200900,9850500,586,NA,NA
46,24,198526,9850664,586,198600,9850600
47,36,198977,9851143,586,199000,9851100
48,44,201900,9852300,586,NA,NA
49,46,200100,9852500,586,NA,NA
50,48,201647,9851200,586,198000,9853800
51,3,230266,9798174,74,230200,9798100
52,12,230948,9798446,74,231100,9798300
53,76,230698,9800033,74,230800,9800100
54,80,231744,9799919,74,231800,9800100
55,107,233767,9800512,74,234000,9800500
56,150,233326,9801206,74,233300,9801100
57,168,233588,9801129,74,233300,9801300
58,198,232831,9801613,74,232900,9801700
59,199,233668,9801779,74,233400,9801700
60,216,232300,9801900,74,NA,NA
61,6,235542,9802256,115,235600,9802000
62,69,234169,9802662,115,234300,9802500
63,74,235916,9802208,115,235800,9802500
64,93,234400,9802700,115,NA,NA
65,139,234348,9803459,115,234300,9803300
66,157,237061,9804576,115,234000,9803500
67,183,235213,9803589,115,235000,9803700
68,209,234929,9805169,115,234900,9805300
69,255,235900,9805900,115,NA,NA
70,259,235550,9805782,115,235500,9806000
71,5,212386,9810128,189,212200,9810000
72,55,211273,9810514,189,211400,9810400
73,74,210819,9810355,189,210800,9810800
74,135,211944,9811694,189,212000,9811600
75,208,213500,9812500,189,NA,NA
76,237,212658,9813158,189,212900,9813000
77,259,213800,9813300,189,NA,NA
78,277,213900,9813500,189,NA,NA
79,281,213300,9813600,189,NA,NA
80,320,213600,9813900,189,NA,NA
81,55,212520,9818255,269,212700,9818300
82,74,210758,9818639,269,210800,9818500
83,139,210473,9819151,269,210700,9819200
84,212,213528,9820120,269,213800,9820500
85,245,210295,9820727,269,210100,9820800
