"","id","X","Y"
"1",3,198400,9798000
"2",9,201200,9798000
"3",80,198800,9799000
"4",82,198100,9799100
"5",107,198300,9799300
"6",113,198900,9799300
"7",162,198500,9799800
"8",179,199300,9800700
"9",180,198100,9800800
"10",198,199200,9801600
"11",3,231600,9800500
"12",7,232300,9800600
"13",8,233800,9800600
"14",12,231300,9800700
"15",17,232400,9800900
"16",24,231400,9801100
"17",37,231000,9801300
"18",44,231200,9801500
"19",50,233700,9801800
"20",51,231300,9801900
"21",3,241900,9798000
"22",5,239600,9798100
"23",7,240600,9798100
"24",29,241800,9798900
"25",43,239800,9800800
"26",55,239500,9801500
"27",65,239900,9801700
"28",77,239000,9801900
"29",79,239500,9801900
"30",83,241400,9801900
"31",3,223600,9802500
"32",9,224300,9802600
"33",72,225100,9803400
"34",77,222100,9803600
"35",95,225000,9803800
"36",104,224000,9804000
"37",147,222100,9805000
"38",165,225800,9805100
"39",192,222900,9805600
"40",195,222200,9805700
"41",3,234300,9802100
"42",11,236000,9802200
"43",13,235200,9802500
"44",31,234100,9804400
"45",44,234300,9804700
"46",57,237300,9805200
"47",69,236200,9805400
"48",81,237400,9805800
"49",86,237900,9805800
"50",88,235900,9805900
"51",3,186600,9806000
"52",9,187200,9806000
"53",79,189000,9806400
"54",80,186800,9806500
"55",107,187000,9806700
"56",158,187900,9807000
"57",176,186700,9807200
"58",198,186600,9807800
"59",207,186500,9808000
"60",216,186500,9808200
"61",3,194300,9806000
"62",11,194200,9806200
"63",79,197400,9806900
"64",81,197600,9806900
"65",106,197300,9807300
"66",154,197100,9807700
"67",172,196200,9807900
"68",197,195100,9808300
"69",201,195400,9809600
"70",216,195200,9809900
"71",55,217500,9806500
"72",74,217200,9806700
"73",141,216100,9807300
"74",214,217400,9809000
"75",246,217200,9809200
"76",259,215300,9809300
"77",283,217000,9809400
"78",285,217200,9809400
"79",360,215700,9809800
"80",362,216200,9809800
"81",3,198800,9810400
"82",11,198200,9811000
"83",74,198400,9812000
"84",79,198900,9812000
"85",106,198200,9812700
"86",109,198500,9812700
"87",142,198900,9813000
"88",154,200800,9813100
"89",172,198100,9813500
"90",173,198400,9813500
"91",3,212400,9810000
"92",9,210700,9810200
"93",21,213100,9810800
"94",70,212400,9811800
"95",77,212600,9811900
"96",98,213500,9812400
"97",104,212000,9812600
"98",132,210300,9813300
"99",148,213300,9813500
"100",158,212700,9813800
"101",3,208000,9814000
"102",8,208500,9814000
"103",74,209500,9814600
"104",78,207800,9816100
"105",102,208800,9816500
"106",105,209000,9816600
"107",149,207300,9817400
"108",167,207700,9817600
"109",196,207900,9817900
"110",199,208200,9817900
"111",3,171700,9818000
"112",10,173100,9818100
"113",77,173600,9818700
"114",78,171900,9818800
"115",101,170200,9819600
"116",105,170600,9819600
"117",136,170100,9820100
"118",152,171400,9820700
"119",160,172300,9820800
"120",170,170300,9821500
"121",3,186300,9818000
"122",9,187600,9818000
"123",76,189100,9819200
"124",80,188500,9819500
"125",107,188300,9820900
"126",148,188800,9821500
"127",166,188000,9821700
"128",196,189700,9821800
"129",201,187000,9821900
"130",216,189500,9821900
"131",3,210900,9818000
"132",7,212800,9818000
"133",75,210600,9819100
"134",102,210300,9819400
"135",147,212300,9819900
"136",165,213500,9820100
"137",191,210100,9820800
"138",193,212600,9820800
"139",216,212800,9821300
"140",228,212300,9821600
"141",3,178300,9822000
"142",9,180200,9822000
"143",72,181600,9823700
"144",80,181700,9824000
"145",97,181300,9824500
"146",107,181500,9824800
"147",135,179600,9825200
"148",154,181900,9825300
"149",161,181700,9825400
"150",172,181900,9825600
"151",3,203900,9822000
"152",12,203700,9822300
"153",74,205500,9824400
"154",80,205000,9824500
"155",105,205500,9824700
"156",107,205700,9824700
"157",123,205800,9824900
"158",146,204200,9825600
"159",149,204600,9825700
"160",155,205100,9825900
"161",3,169000,9826000
"162",5,169600,9826000
"163",7,169800,9826000
"164",26,169500,9827500
"165",27,167900,9827600
"166",42,169700,9827700
"167",53,169400,9827800
"168",65,168900,9828000
"169",77,167700,9828600
"170",79,169900,9828600
"171",6,175700,9826000
"172",74,176400,9826700
"173",75,176800,9826700
"174",95,176600,9827000
"175",145,176600,9827900
"176",163,175500,9828100
"177",189,177900,9828200
"178",212,176300,9828500
"179",259,177300,9829200
"180",260,176100,9829300
"181",3,181200,9830100
"182",12,181500,9830200
"183",15,181300,9830300
"184",34,181600,9832600
"185",60,180900,9833100
"186",70,179900,9833400
"187",81,181200,9833500
"188",88,180600,9833600
"189",108,180400,9833800
"190",115,181100,9833800
"191",55,193600,9832100
"192",74,193700,9832300
"193",136,192000,9832700
"194",209,191600,9833100
"195",243,192700,9833200
"196",259,192200,9833300
"197",284,192500,9833400
"198",290,193100,9833400
"199",359,193000,9833800
"200",366,190100,9833900
"201",3,202700,9830500
"202",5,205100,9830500
"203",7,204600,9830800
"204",11,204600,9831100
"205",18,203700,9831800
"206",24,205400,9832000
"207",30,202900,9832900
"208",38,202300,9833100
"209",41,203000,9833200
"210",49,205000,9833900
"211",3,182500,9834000
"212",9,185700,9834100
"213",70,182900,9835600
"214",77,182300,9835900
"215",97,182100,9836700
"216",104,184200,9837000
"217",115,183900,9837300
"218",144,182600,9837900
"219",146,183100,9837900
"220",149,183400,9837900
"221",3,207000,9838000
"222",9,209700,9838000
"223",73,206900,9840300
"224",78,209500,9840300
"225",97,207000,9840900
"226",105,209900,9841000
"227",133,209800,9841400
"228",148,209500,9841600
"229",164,209600,9841800
"230",166,209800,9841800
"231",3,186600,9842200
"232",9,186200,9842800
"233",77,186500,9843700
"234",104,186900,9844000
"235",153,186200,9844500
"236",171,186400,9844700
"237",195,188300,9844800
"238",202,187300,9844900
"239",216,188000,9845100
"240",227,188000,9845300
"241",3,198300,9842000
"242",8,200800,9842000
"243",73,201400,9842400
"244",76,201700,9842400
"245",103,201600,9842600
"246",108,199900,9842700
"247",154,200800,9843200
"248",166,199600,9843600
"249",172,198500,9845200
"250",194,199600,9845900
"251",3,194400,9846200
"252",5,197900,9846200
"253",9,196500,9846400
"254",27,196200,9847300
"255",53,196200,9847800
"256",67,194600,9848400
"257",78,195800,9848700
"258",85,194900,9848900
"259",88,194600,9849200
"260",93,195500,9849700
"261",74,213800,9846600
"262",141,213400,9847100
"263",214,213400,9847800
"264",247,212500,9848300
"265",259,212100,9848400
"266",285,213000,9848500
"267",294,212100,9848600
"268",363,213400,9849000
"269",365,210200,9849100
"270",444,210600,9849900
"271",3,193600,9850900
"272",13,193800,9851000
"273",16,193300,9851100
"274",18,193500,9851100
"275",28,193500,9851400
"276",43,192400,9852200
"277",51,191500,9852500
"278",67,192500,9853500
"279",70,190700,9853600
"280",71,191400,9853600
"281",3,200300,9851200
"282",5,200700,9852500
"283",7,199700,9852600
"284",11,200300,9852900
